[2015-12-23 11:17:43]	Other thread is under initialization 
[2015-12-23 11:17:43]	Other thread is under initialization 
[2015-12-23 11:17:43]	Other thread is under initialization 
[2015-12-23 11:17:43]	Other thread is under initialization 
[2015-12-23 11:17:43]	Other thread is under initialization 
[2015-12-23 11:17:43]	Other thread is under initialization 
[2015-12-23 11:17:43]	Other thread is under initialization 
[2015-12-23 11:17:44]	Other thread is under initialization 
[2015-12-23 11:17:44]	Other thread is under initialization 
[2015-12-23 11:17:44]	Other thread is under initialization 
[2015-12-23 11:17:44]	Other thread is under initialization 
[2015-12-23 11:17:44]	Other thread is under initialization 
[2015-12-23 11:17:44]	Other thread is under initialization 
[2015-12-23 11:17:44]	Other thread is under initialization 
[2015-12-23 11:17:44]	Other thread is under initialization 
[2015-12-23 11:17:44]	Other thread is under initialization 
[2015-12-23 11:17:44]	Other thread is under initialization 
[2015-12-23 11:17:44]	Other thread is under initialization 
[2015-12-23 11:17:44]	Other thread is under initialization 
[2015-12-23 11:17:44]	Other thread is under initialization 
[2015-12-23 11:17:44]	Other thread is under initialization 
[2015-12-23 11:17:44]	Other thread is under initialization 
[2015-12-23 11:17:44]	Other thread is under initialization 
[2015-12-23 11:17:44]	Other thread is under initialization 
[2015-12-23 11:17:45]	Other thread is under initialization 
[2015-12-23 11:17:45]	Other thread is under initialization 
[2015-12-23 11:17:45]	Other thread is under initialization 
[2015-12-23 11:17:45]	Other thread is under initialization 
[2015-12-23 11:17:45]	Other thread is under initialization 
[2015-12-23 11:17:45]	Other thread is under initialization 
[2015-12-23 11:17:45]	Other thread is under initialization 
[2015-12-23 11:17:45]	Other thread is under initialization 
[2015-12-23 11:17:45]	Other thread is under initialization 
[2015-12-23 11:19:30]	Other thread is under initialization 
[2015-12-23 11:19:47]	Other thread is under initialization 
[2015-12-23 11:19:47]	Other thread is under initialization 
[2015-12-23 11:20:30]	Other thread is under initialization 
[2015-12-23 11:20:30]	Other thread is under initialization 
[2015-12-23 11:20:31]	Other thread is under initialization 
[2015-12-23 11:20:31]	Other thread is under initialization 
[2015-12-23 11:20:31]	Other thread is under initialization 
[2015-12-23 11:20:31]	Other thread is under initialization 
[2015-12-23 11:20:31]	Other thread is under initialization 
[2015-12-23 11:20:31]	Other thread is under initialization 
[2015-12-23 11:20:31]	Other thread is under initialization 
[2015-12-23 11:20:31]	Other thread is under initialization 
[2015-12-23 11:20:31]	Other thread is under initialization 
[2015-12-23 11:20:31]	Other thread is under initialization 
[2015-12-23 11:20:32]	Other thread is under initialization 
[2015-12-23 11:20:32]	Other thread is under initialization 
[2015-12-23 11:20:32]	Other thread is under initialization 
[2015-12-23 11:20:32]	Other thread is under initialization 
[2015-12-23 11:20:32]	Other thread is under initialization 
[2015-12-23 11:20:32]	Other thread is under initialization 
[2015-12-23 11:20:32]	Other thread is under initialization 
[2015-12-23 11:20:32]	Other thread is under initialization 
[2015-12-23 11:20:32]	Other thread is under initialization 
[2015-12-23 11:20:32]	Other thread is under initialization 
[2015-12-23 11:20:33]	Other thread is under initialization 
[2015-12-23 11:20:33]	Other thread is under initialization 
[2015-12-23 11:20:33]	Other thread is under initialization 
[2015-12-23 11:20:33]	Other thread is under initialization 
[2015-12-23 11:20:33]	Other thread is under initialization 
[2015-12-23 11:20:33]	Other thread is under initialization 
[2015-12-23 11:20:33]	Other thread is under initialization 
[2015-12-23 11:20:33]	Other thread is under initialization 
[2015-12-23 11:20:33]	Other thread is under initialization 
[2015-12-23 11:20:33]	Other thread is under initialization 
[2015-12-23 11:20:33]	Other thread is under initialization 
[2015-12-23 11:20:33]	Other thread is under initialization 
[2015-12-23 11:20:34]	Other thread is under initialization 
[2015-12-23 11:20:34]	Other thread is under initialization 
[2015-12-23 11:20:34]	Other thread is under initialization 
[2015-12-23 11:20:34]	Other thread is under initialization 
[2015-12-23 11:20:34]	Other thread is under initialization 
[2015-12-23 11:20:34]	Other thread is under initialization 
[2015-12-23 11:20:34]	Other thread is under initialization 
[2015-12-23 11:20:34]	Other thread is under initialization 
[2015-12-23 11:20:34]	Other thread is under initialization 
[2015-12-23 11:20:34]	Other thread is under initialization 
[2015-12-23 11:20:34]	Other thread is under initialization 
[2015-12-23 11:20:34]	Other thread is under initialization 
[2015-12-23 11:20:34]	Other thread is under initialization 
[2015-12-23 11:20:34]	Other thread is under initialization 
[2015-12-23 11:20:34]	Other thread is under initialization 
[2015-12-23 11:20:35]	Other thread is under initialization 
[2015-12-23 11:20:35]	Other thread is under initialization 
[2015-12-23 11:20:35]	Other thread is under initialization 
[2015-12-23 11:20:35]	Other thread is under initialization 
[2015-12-23 11:20:35]	Other thread is under initialization 
[2015-12-23 11:20:35]	Other thread is under initialization 
[2015-12-23 11:20:35]	Other thread is under initialization 
[2015-12-23 11:20:35]	Other thread is under initialization 
[2015-12-23 11:20:35]	Other thread is under initialization 
[2015-12-23 11:20:35]	Other thread is under initialization 
[2015-12-23 11:20:35]	Other thread is under initialization 
[2015-12-23 11:20:35]	Other thread is under initialization 
[2015-12-23 11:20:36]	Other thread is under initialization 
[2015-12-23 11:20:36]	Other thread is under initialization 
[2015-12-23 11:20:36]	Other thread is under initialization 
[2015-12-23 11:20:36]	Other thread is under initialization 
[2015-12-23 11:20:36]	Other thread is under initialization 
[2015-12-23 11:20:36]	Other thread is under initialization 
[2015-12-23 11:20:36]	Other thread is under initialization 
[2015-12-23 11:20:36]	Other thread is under initialization 
[2015-12-23 11:20:36]	Other thread is under initialization 
[2015-12-23 11:20:36]	Other thread is under initialization 
[2015-12-23 11:20:36]	Other thread is under initialization 
[2015-12-23 11:20:37]	Other thread is under initialization 
[2015-12-23 11:20:37]	Other thread is under initialization 
[2015-12-23 11:20:37]	Other thread is under initialization 
[2015-12-23 11:20:37]	Other thread is under initialization 
[2015-12-23 11:20:37]	Other thread is under initialization 
[2015-12-23 11:20:37]	Other thread is under initialization 
[2015-12-23 11:20:38]	Other thread is under initialization 
[2015-12-23 11:20:38]	Other thread is under initialization 
[2015-12-23 11:20:38]	Other thread is under initialization 
[2015-12-23 11:20:38]	Other thread is under initialization 
[2015-12-23 11:20:38]	Other thread is under initialization 
[2015-12-23 11:20:38]	Other thread is under initialization 
[2015-12-23 11:21:40]	Other thread is under initialization 
[2015-12-23 11:21:40]	Other thread is under initialization 
[2015-12-23 11:22:29]	Other thread is under initialization 
[2015-12-23 11:22:29]	Other thread is under initialization 
[2015-12-23 11:23:00]	Other thread is under initialization 
[2015-12-23 11:23:00]	Other thread is under initialization 
[2015-12-23 11:23:43]	Other thread is under initialization 
[2015-12-23 11:27:40]	Other thread is under initialization 
[2015-12-23 11:28:50]	Other thread is under initialization 
[2015-12-23 11:28:50]	Other thread is under initialization 
[2015-12-23 11:29:13]	Other thread is under initialization 
[2015-12-23 11:30:05]	Other thread is under initialization 
[2015-12-23 11:30:05]	Other thread is under initialization 
[2015-12-23 11:34:02]	Other thread is under initialization 
[2015-12-23 11:34:02]	Other thread is under initialization 
[2015-12-23 12:05:58]	Other thread is under initialization 
[2015-12-23 12:05:58]	Other thread is under initialization 
[2015-12-23 13:20:08]	Other thread is under initialization 
[2015-12-23 13:20:08]	Other thread is under initialization 
[2015-12-23 13:34:29]	Other thread is under initialization 
[2015-12-23 16:55:50]	Other thread is under initialization 
[2015-12-23 17:00:22]	Other thread is under initialization 
[2015-12-23 17:00:22]	Other thread is under initialization 
